area f_all f_all_confirmed f_stack f_stack_confirmed f_side f_side_confirmed f_stack_confirmed_pp f_stack_confirmed_pP f_stack_confirmed_PP f_side_confirmed_strong f_side_confirmed_weak
0 10025 242 7188 2 2837 128 0 2 0 0 128
6 5109 373 3291 3 1818 279 0 3 0 12 267
12 3681 651 2026 2 1655 559 0 2 0 2 557
18 3155 494 1977 6 1178 402 0 6 0 2 400
24 2768 720 1640 2 1128 616 0 2 0 41 575
30 1894 585 1038 1 856 528 0 1 0 87 441
36 1848 788 874 1 974 722 0 1 0 207 515
42 1780 815 836 2 944 734 0 1 1 317 417
48 1677 809 764 5 913 741 0 3 2 430 311
54 1882 1018 768 7 1114 958 1 3 3 720 238
60 2603 1649 889 22 1714 1584 1 11 10 1366 218
66 3592 2661 901 22 2691 2601 2 11 9 2429 172
72 3738 2860 871 57 2867 2774 6 23 28 2671 103
78 3491 2694 827 55 2664 2608 11 28 16 2518 90
84 2709 1907 864 57 1845 1806 6 30 21 1745 61
90 1801 1005 893 85 908 882 13 37 35 862 20
96 1376 525 972 104 404 385 13 55 36 371 14
102 1347 502 1035 185 312 288 10 121 54 278 10
108 1420 515 1212 309 208 186 35 211 63 180 6
114 1674 665 1568 570 106 81 107 340 123 76 5
120 2000 1027 1957 981 43 32 256 572 153 26 6
126 2523 1618 2492 1596 31 8 507 915 174 4 4
132 2851 2096 2837 2083 14 2 771 1085 227 0 2
138 2738 2210 2731 2205 7 1 957 916 332 0 1
144 2276 1978 2263 1969 13 2 786 689 494 0 2
150 1872 1725 1864 1721 8 2 629 519 573 0 2
156 1563 1480 1559 1475 4 1 353 436 686 0 1
162 1390 1350 1387 1346 3 0 134 393 819 0 0
168 1453 1421 1448 1416 5 0 39 458 919 0 0
174 1794 1777 1791 1771 3 0 10 632 1129 0 0
180 2395 2373 2394 2372 1 0 1 1008 1363 0 0
186 2866 2848 2865 2847 1 0 1 1297 1549 0 0
192 2988 2976 2988 2975 0 0 1 1481 1493 0 0
198 2427 2422 2426 2420 1 1 0 1314 1106 0 1
204 1588 1580 1588 1580 0 0 0 714 866 0 0
210 993 991 993 991 0 0 0 337 654 0 0
216 550 548 549 547 1 1 0 117 430 0 1
222 315 314 314 313 1 1 0 38 275 0 1
228 135 135 132 132 3 2 0 2 130 0 2
234 83 83 82 82 1 1 0 0 82 0 1
240 37 37 36 36 1 1 0 0 36 0 1
246 21 21 21 21 0 0 0 1 20 0 0
252 10 10 9 9 1 1 0 0 9 0 1
258 5 5 2 2 3 3 0 0 2 0 3
264 1 1 0 0 1 1 0 0 0 0 1
270 0 0 0 0 0 0 0 0 0 0 0
276 2 2 0 0 2 2 0 0 0 0 2
282 2 2 1 1 1 1 0 0 1 0 1
288 0 0 0 0 0 0 0 0 0 0 0
294 0 0 0 0 0 0 0 0 0 0 0
