"min_RNA_INF" "set_size" "subset_name" "subset_size"
0.05 1768141 "MP and CAD_SS and RNA_INF" 1279848
0.05 1768141 "MP and CAD_SS without RNA_INF" 101331
0.05 1768141 "MP and RNA_INF without CAD_SS" 96775
0.05 1768141 "MP without CAD_SS without RNA_INF" 290187
0.05 1768141 "MP and CAD_SS and RMSD" 1268272
0.05 1768141 "MP and CAD_SS without RMSD" 112907
0.05 1768141 "MP and RMSD without CAD_SS" 98306
0.05 1768141 "MP without CAD_SS without RMSD" 288656
0.05 1768141 "MP and CAD_SS and RNA_DI" 1301419
0.05 1768141 "MP and CAD_SS without RNA_DI" 79760
0.05 1768141 "MP and RNA_DI without CAD_SS" 82272
0.05 1768141 "MP without CAD_SS without RNA_DI" 304690
0.05 1768141 "MP and CAD_SS and GDT_C3" 1258022
0.05 1768141 "MP and CAD_SS without GDT_C3" 123157
0.05 1768141 "MP and GDT_C3 without CAD_SS" 105053
0.05 1768141 "MP without CAD_SS without GDT_C3" 281909
0.1 1766434 "MP and CAD_SS and RNA_INF" 1279104
0.1 1766434 "MP and CAD_SS without RNA_INF" 101162
0.1 1766434 "MP and RNA_INF without CAD_SS" 96526
0.1 1766434 "MP without CAD_SS without RNA_INF" 289642
0.1 1766434 "MP and CAD_SS and RMSD" 1267542
0.1 1766434 "MP and CAD_SS without RMSD" 112724
0.1 1766434 "MP and RMSD without CAD_SS" 98112
0.1 1766434 "MP without CAD_SS without RMSD" 288056
0.1 1766434 "MP and CAD_SS and RNA_DI" 1300670
0.1 1766434 "MP and CAD_SS without RNA_DI" 79596
0.1 1766434 "MP and RNA_DI without CAD_SS" 82044
0.1 1766434 "MP without CAD_SS without RNA_DI" 304124
0.1 1766434 "MP and CAD_SS and GDT_C3" 1257291
0.1 1766434 "MP and CAD_SS without GDT_C3" 122975
0.1 1766434 "MP and GDT_C3 without CAD_SS" 104920
0.1 1766434 "MP without CAD_SS without GDT_C3" 281248
0.15 1762887 "MP and CAD_SS and RNA_INF" 1277797
0.15 1762887 "MP and CAD_SS without RNA_INF" 100798
0.15 1762887 "MP and RNA_INF without CAD_SS" 96233
0.15 1762887 "MP without CAD_SS without RNA_INF" 288059
0.15 1762887 "MP and CAD_SS and RMSD" 1266149
0.15 1762887 "MP and CAD_SS without RMSD" 112446
0.15 1762887 "MP and RMSD without CAD_SS" 97694
0.15 1762887 "MP without CAD_SS without RMSD" 286598
0.15 1762887 "MP and CAD_SS and RNA_DI" 1299313
0.15 1762887 "MP and CAD_SS without RNA_DI" 79282
0.15 1762887 "MP and RNA_DI without CAD_SS" 81773
0.15 1762887 "MP without CAD_SS without RNA_DI" 302519
0.15 1762887 "MP and CAD_SS and GDT_C3" 1255923
0.15 1762887 "MP and CAD_SS without GDT_C3" 122672
0.15 1762887 "MP and GDT_C3 without CAD_SS" 104516
0.15 1762887 "MP without CAD_SS without GDT_C3" 279776
0.2 1759209 "MP and CAD_SS and RNA_INF" 1276368
0.2 1759209 "MP and CAD_SS without RNA_INF" 100356
0.2 1759209 "MP and RNA_INF without CAD_SS" 95788
0.2 1759209 "MP without CAD_SS without RNA_INF" 286697
0.2 1759209 "MP and CAD_SS and RMSD" 1264755
0.2 1759209 "MP and CAD_SS without RMSD" 111969
0.2 1759209 "MP and RMSD without CAD_SS" 97299
0.2 1759209 "MP without CAD_SS without RMSD" 285186
0.2 1759209 "MP and CAD_SS and RNA_DI" 1297826
0.2 1759209 "MP and CAD_SS without RNA_DI" 78898
0.2 1759209 "MP and RNA_DI without CAD_SS" 81392
0.2 1759209 "MP without CAD_SS without RNA_DI" 301093
0.2 1759209 "MP and CAD_SS and GDT_C3" 1254582
0.2 1759209 "MP and CAD_SS without GDT_C3" 122142
0.2 1759209 "MP and GDT_C3 without CAD_SS" 104118
0.2 1759209 "MP without CAD_SS without GDT_C3" 278367
0.25 1752911 "MP and CAD_SS and RNA_INF" 1273060
0.25 1752911 "MP and CAD_SS without RNA_INF" 99792
0.25 1752911 "MP and RNA_INF without CAD_SS" 95206
0.25 1752911 "MP without CAD_SS without RNA_INF" 284853
0.25 1752911 "MP and CAD_SS and RMSD" 1261545
0.25 1752911 "MP and CAD_SS without RMSD" 111307
0.25 1752911 "MP and RMSD without CAD_SS" 96613
0.25 1752911 "MP without CAD_SS without RMSD" 283446
0.25 1752911 "MP and CAD_SS and RNA_DI" 1294448
0.25 1752911 "MP and CAD_SS without RNA_DI" 78404
0.25 1752911 "MP and RNA_DI without CAD_SS" 80873
0.25 1752911 "MP without CAD_SS without RNA_DI" 299186
0.25 1752911 "MP and CAD_SS and GDT_C3" 1251455
0.25 1752911 "MP and CAD_SS without GDT_C3" 121397
0.25 1752911 "MP and GDT_C3 without CAD_SS" 103500
0.25 1752911 "MP without CAD_SS without GDT_C3" 276559
0.3 1742738 "MP and CAD_SS and RNA_INF" 1267485
0.3 1742738 "MP and CAD_SS without RNA_INF" 99040
0.3 1742738 "MP and RNA_INF without CAD_SS" 94320
0.3 1742738 "MP without CAD_SS without RNA_INF" 281893
0.3 1742738 "MP and CAD_SS and RMSD" 1256265
0.3 1742738 "MP and CAD_SS without RMSD" 110260
0.3 1742738 "MP and RMSD without CAD_SS" 95551
0.3 1742738 "MP without CAD_SS without RMSD" 280662
0.3 1742738 "MP and CAD_SS and RNA_DI" 1288756
0.3 1742738 "MP and CAD_SS without RNA_DI" 77769
0.3 1742738 "MP and RNA_DI without CAD_SS" 80094
0.3 1742738 "MP without CAD_SS without RNA_DI" 296119
0.3 1742738 "MP and CAD_SS and GDT_C3" 1246375
0.3 1742738 "MP and CAD_SS without GDT_C3" 120150
0.3 1742738 "MP and GDT_C3 without CAD_SS" 102330
0.3 1742738 "MP without CAD_SS without GDT_C3" 273883
0.35 1727923 "MP and CAD_SS and RNA_INF" 1258890
0.35 1727923 "MP and CAD_SS without RNA_INF" 98106
0.35 1727923 "MP and RNA_INF without CAD_SS" 93022
