"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
2 0.3 37454 "RNA_INF" "1. MP and CAD-score and RNA_INF" 30679 0.819111443370535
2 0.3 37454 "RNA_INF" "2. MP and CAD-score without RNA_INF" 3245 0.0866396112564746
2 0.3 37454 "RNA_INF" "3. MP and RNA_INF without CAD-score" 1271 0.0339349602178673
2 0.3 37454 "RNA_INF" "4. MP without CAD-score without RNA_INF" 2259 0.0603139851551236
2 0.3 37454 "RMSD" "1. MP and CAD-score and RMSD" 31994 0.85422117797832
2 0.3 37454 "RMSD" "2. MP and CAD-score without RMSD" 1930 0.0515298766486891
2 0.3 37454 "RMSD" "3. MP and RMSD without CAD-score" 1134 0.0302771399583489
2 0.3 37454 "RMSD" "4. MP without CAD-score without RMSD" 2396 0.063971805414642
2 0.3 37454 "RNA_DI" "1. MP and CAD-score and RNA_DI" 32421 0.865621829444118
2 0.3 37454 "RNA_DI" "2. MP and CAD-score without RNA_DI" 1503 0.040129225182891
2 0.3 37454 "RNA_DI" "3. MP and RNA_DI without CAD-score" 1114 0.0297431515992951
2 0.3 37454 "RNA_DI" "4. MP without CAD-score without RNA_DI" 2416 0.0645057937736957
2 0.3 37454 "GDT_C3" "1. MP and CAD-score and GDT_C3" 31793 0.84885459496983
2 0.3 37454 "GDT_C3" "2. MP and CAD-score without GDT_C3" 2131 0.0568964596571795
2 0.3 37454 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 1258 0.0335878677844823
2 0.3 37454 "GDT_C3" "4. MP without CAD-score without GDT_C3" 2272 0.0606610775885086
2 0.33 37454 "RNA_INF" "1. MP and CAD-score and RNA_INF" 30679 0.819111443370535
2 0.33 37454 "RNA_INF" "2. MP and CAD-score without RNA_INF" 3245 0.0866396112564746
2 0.33 37454 "RNA_INF" "3. MP and RNA_INF without CAD-score" 1271 0.0339349602178673
2 0.33 37454 "RNA_INF" "4. MP without CAD-score without RNA_INF" 2259 0.0603139851551236
2 0.33 37454 "RMSD" "1. MP and CAD-score and RMSD" 31994 0.85422117797832
2 0.33 37454 "RMSD" "2. MP and CAD-score without RMSD" 1930 0.0515298766486891
2 0.33 37454 "RMSD" "3. MP and RMSD without CAD-score" 1134 0.0302771399583489
2 0.33 37454 "RMSD" "4. MP without CAD-score without RMSD" 2396 0.063971805414642
2 0.33 37454 "RNA_DI" "1. MP and CAD-score and RNA_DI" 32421 0.865621829444118
2 0.33 37454 "RNA_DI" "2. MP and CAD-score without RNA_DI" 1503 0.040129225182891
2 0.33 37454 "RNA_DI" "3. MP and RNA_DI without CAD-score" 1114 0.0297431515992951
2 0.33 37454 "RNA_DI" "4. MP without CAD-score without RNA_DI" 2416 0.0645057937736957
2 0.33 37454 "GDT_C3" "1. MP and CAD-score and GDT_C3" 31793 0.84885459496983
2 0.33 37454 "GDT_C3" "2. MP and CAD-score without GDT_C3" 2131 0.0568964596571795
2 0.33 37454 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 1258 0.0335878677844823
2 0.33 37454 "GDT_C3" "4. MP without CAD-score without GDT_C3" 2272 0.0606610775885086
2 0.36 37454 "RNA_INF" "1. MP and CAD-score and RNA_INF" 30679 0.819111443370535
2 0.36 37454 "RNA_INF" "2. MP and CAD-score without RNA_INF" 3245 0.0866396112564746
2 0.36 37454 "RNA_INF" "3. MP and RNA_INF without CAD-score" 1271 0.0339349602178673
2 0.36 37454 "RNA_INF" "4. MP without CAD-score without RNA_INF" 2259 0.0603139851551236
2 0.36 37454 "RMSD" "1. MP and CAD-score and RMSD" 31994 0.85422117797832
2 0.36 37454 "RMSD" "2. MP and CAD-score without RMSD" 1930 0.0515298766486891
2 0.36 37454 "RMSD" "3. MP and RMSD without CAD-score" 1134 0.0302771399583489
2 0.36 37454 "RMSD" "4. MP without CAD-score without RMSD" 2396 0.063971805414642
2 0.36 37454 "RNA_DI" "1. MP and CAD-score and RNA_DI" 32421 0.865621829444118
