"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
2 0.3 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71750 0.7183116922122
2 0.3 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9449 0.0945968944907746
2 0.3 99887 "RNA_INF" "3. MP and RNA_INF without CAD-score" 6222 0.0622903881385966
2 0.3 99887 "RNA_INF" "4. MP without CAD-score without RNA_INF" 12466 0.124801025158429
2 0.3 99887 "RMSD" "1. MP and CAD-score and RMSD" 73045 0.731276342266761
2 0.3 99887 "RMSD" "2. MP and CAD-score without RMSD" 8154 0.0816322444362129
2 0.3 99887 "RMSD" "3. MP and RMSD without CAD-score" 5841 0.058476077968104
2 0.3 99887 "RMSD" "4. MP without CAD-score without RMSD" 12847 0.128615335328922
2 0.3 99887 "RNA_DI" "1. MP and CAD-score and RNA_DI" 75267 0.753521479271577
2 0.3 99887 "RNA_DI" "2. MP and CAD-score without RNA_DI" 5932 0.0593871074313975
2 0.3 99887 "RNA_DI" "3. MP and RNA_DI without CAD-score" 5410 0.054161202158439
2 0.3 99887 "RNA_DI" "4. MP without CAD-score without RNA_DI" 13278 0.132930211138587
2 0.3 99887 "GDT_C3" "1. MP and CAD-score and GDT_C3" 72005 0.720864576971978
2 0.3 99887 "GDT_C3" "2. MP and CAD-score without GDT_C3" 9194 0.092044009730996
2 0.3 99887 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 6420 0.0642726280697188
2 0.3 99887 "GDT_C3" "4. MP without CAD-score without GDT_C3" 12268 0.122818785227307
2 0.31 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71750 0.7183116922122
2 0.31 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9449 0.0945968944907746
2 0.31 99887 "RNA_INF" "3. MP and RNA_INF without CAD-score" 6222 0.0622903881385966
2 0.31 99887 "RNA_INF" "4. MP without CAD-score without RNA_INF" 12466 0.124801025158429
2 0.31 99887 "RMSD" "1. MP and CAD-score and RMSD" 73045 0.731276342266761
2 0.31 99887 "RMSD" "2. MP and CAD-score without RMSD" 8154 0.0816322444362129
2 0.31 99887 "RMSD" "3. MP and RMSD without CAD-score" 5841 0.058476077968104
2 0.31 99887 "RMSD" "4. MP without CAD-score without RMSD" 12847 0.128615335328922
2 0.31 99887 "RNA_DI" "1. MP and CAD-score and RNA_DI" 75267 0.753521479271577
2 0.31 99887 "RNA_DI" "2. MP and CAD-score without RNA_DI" 5932 0.0593871074313975
2 0.31 99887 "RNA_DI" "3. MP and RNA_DI without CAD-score" 5410 0.054161202158439
2 0.31 99887 "RNA_DI" "4. MP without CAD-score without RNA_DI" 13278 0.132930211138587
2 0.31 99887 "GDT_C3" "1. MP and CAD-score and GDT_C3" 72005 0.720864576971978
2 0.31 99887 "GDT_C3" "2. MP and CAD-score without GDT_C3" 9194 0.092044009730996
2 0.31 99887 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 6420 0.0642726280697188
2 0.31 99887 "GDT_C3" "4. MP without CAD-score without GDT_C3" 12268 0.122818785227307
2 0.32 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71750 0.7183116922122
2 0.32 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9449 0.0945968944907746
