"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
2 0.4 62851 "RNA_INF" "1. MP and CAD-score and RNA_INF" 43062 0.685144230004296
2 0.4 62851 "RNA_INF" "2. MP and CAD-score without RNA_INF" 7156 0.113856581438641
2 0.4 62851 "RNA_INF" "3. MP and RNA_INF without CAD-score" 5522 0.087858586180013
2 0.4 62851 "RNA_INF" "4. MP without CAD-score without RNA_INF" 7111 0.11314060237705
2 0.4 62851 "RMSD" "1. MP and CAD-score and RMSD" 45490 0.723775278038536
2 0.4 62851 "RMSD" "2. MP and CAD-score without RMSD" 4728 0.0752255334044009
2 0.4 62851 "RMSD" "3. MP and RMSD without CAD-score" 4417 0.0702773225565226
2 0.4 62851 "RMSD" "4. MP without CAD-score without RMSD" 8216 0.130721866000541
2 0.4 62851 "RNA_DI" "1. MP and CAD-score and RNA_DI" 45901 0.730314553467725
2 0.4 62851 "RNA_DI" "2. MP and CAD-score without RNA_DI" 4317 0.0686862579752112
2 0.4 62851 "RNA_DI" "3. MP and RNA_DI without CAD-score" 4582 0.0729025791156863
2 0.4 62851 "RNA_DI" "4. MP without CAD-score without RNA_DI" 8051 0.128096609441377
2 0.4 62851 "GDT_C3" "1. MP and CAD-score and GDT_C3" 45009 0.716122257402428
2 0.4 62851 "GDT_C3" "2. MP and CAD-score without GDT_C3" 5209 0.0828785540405085
2 0.4 62851 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 4229 0.0672861211436572
2 0.4 62851 "GDT_C3" "4. MP without CAD-score without GDT_C3" 8404 0.133713067413406
2 0.45 62823 "RNA_INF" "1. MP and CAD-score and RNA_INF" 43036 0.685035735319867
2 0.45 62823 "RNA_INF" "2. MP and CAD-score without RNA_INF" 7156 0.113907326934403
2 0.45 62823 "RNA_INF" "3. MP and RNA_INF without CAD-score" 5520 0.0878659089823791
2 0.45 62823 "RNA_INF" "4. MP without CAD-score without RNA_INF" 7111 0.113191028763351
2 0.45 62823 "RMSD" "1. MP and CAD-score and RMSD" 45464 0.723684001082406
2 0.45 62823 "RMSD" "2. MP and CAD-score without RMSD" 4728 0.0752590611718638
2 0.45 62823 "RMSD" "3. MP and RMSD without CAD-score" 4415 0.0702768094487688
2 0.45 62823 "RMSD" "4. MP without CAD-score without RMSD" 8216 0.130780128296961
2 0.45 62823 "RNA_DI" "1. MP and CAD-score and RNA_DI" 45875 0.730226191044681
2 0.45 62823 "RNA_DI" "2. MP and CAD-score without RNA_DI" 4317 0.0687168712095888
2 0.45 62823 "RNA_DI" "3. MP and RNA_DI without CAD-score" 4580 0.0729032360759594
2 0.45 62823 "RNA_DI" "4. MP without CAD-score without RNA_DI" 8051 0.128153701669771
2 0.45 62823 "GDT_C3" "1. MP and CAD-score and GDT_C3" 44989 0.716123075943524
2 0.45 62823 "GDT_C3" "2. MP and CAD-score without GDT_C3" 5203 0.0828199863107461
