"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
2 0.3 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71507 0.715878943205823
2 0.3 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9171 0.0918137495369768
2 0.3 99887 "RNA_INF" "3. MP and RNA_INF without CAD-score" 6465 0.0647231371449738
2 0.3 99887 "RNA_INF" "4. MP without CAD-score without RNA_INF" 12744 0.127584170112227
2 0.3 99887 "RMSD" "1. MP and CAD-score and RMSD" 72531 0.726130527496071
2 0.3 99887 "RMSD" "2. MP and CAD-score without RMSD" 8147 0.0815621652467288
2 0.3 99887 "RMSD" "3. MP and RMSD without CAD-score" 6355 0.0636218927387948
2 0.3 99887 "RMSD" "4. MP without CAD-score without RMSD" 12854 0.128685414518406
2 0.3 99887 "RNA_DI" "1. MP and CAD-score and RNA_DI" 74790 0.748746083073873
2 0.3 99887 "RNA_DI" "2. MP and CAD-score without RNA_DI" 5888 0.0589466096689259
2 0.3 99887 "RNA_DI" "3. MP and RNA_DI without CAD-score" 5887 0.0589365983561424
2 0.3 99887 "RNA_DI" "4. MP without CAD-score without RNA_DI" 13322 0.133370708901058
2 0.3 99887 "GDT_C3" "1. MP and CAD-score and GDT_C3" 71427 0.715078038183147
2 0.3 99887 "GDT_C3" "2. MP and CAD-score without GDT_C3" 9251 0.0926146545596524
2 0.3 99887 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 6998 0.0700591668585502
2 0.3 99887 "GDT_C3" "4. MP without CAD-score without GDT_C3" 12211 0.12224814039865
2 0.31 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71507 0.715878943205823
2 0.31 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9171 0.0918137495369768
2 0.31 99887 "RNA_INF" "3. MP and RNA_INF without CAD-score" 6465 0.0647231371449738
2 0.31 99887 "RNA_INF" "4. MP without CAD-score without RNA_INF" 12744 0.127584170112227
2 0.31 99887 "RMSD" "1. MP and CAD-score and RMSD" 72531 0.726130527496071
2 0.31 99887 "RMSD" "2. MP and CAD-score without RMSD" 8147 0.0815621652467288
2 0.31 99887 "RMSD" "3. MP and RMSD without CAD-score" 6355 0.0636218927387948
2 0.31 99887 "RMSD" "4. MP without CAD-score without RMSD" 12854 0.128685414518406
2 0.31 99887 "RNA_DI" "1. MP and CAD-score and RNA_DI" 74790 0.748746083073873
2 0.31 99887 "RNA_DI" "2. MP and CAD-score without RNA_DI" 5888 0.0589466096689259
2 0.31 99887 "RNA_DI" "3. MP and RNA_DI without CAD-score" 5887 0.0589365983561424
2 0.31 99887 "RNA_DI" "4. MP without CAD-score without RNA_DI" 13322 0.133370708901058
2 0.31 99887 "GDT_C3" "1. MP and CAD-score and GDT_C3" 71427 0.715078038183147
2 0.31 99887 "GDT_C3" "2. MP and CAD-score without GDT_C3" 9251 0.0926146545596524
2 0.31 99887 "GDT_C3" "3. MP and GDT_C3 without CAD-score" 6998 0.0700591668585502
2 0.31 99887 "GDT_C3" "4. MP without CAD-score without GDT_C3" 12211 0.12224814039865
2 0.32 99887 "RNA_INF" "1. MP and CAD-score and RNA_INF" 71507 0.715878943205823
2 0.32 99887 "RNA_INF" "2. MP and CAD-score without RNA_INF" 9171 0.0918137495369768
2 0.32 99887 "RNA_INF" "3. MP and RNA_INF without CAD-score" 6465 0.0647231371449738
2 0.32 99887 "RNA_INF" "4. MP without CAD-score without RNA_INF" 12744 0.127584170112227
2 0.32 99887 "RMSD" "1. MP and CAD-score and RMSD" 72531 0.726130527496071
2 0.32 99887 "RMSD" "2. MP and CAD-score without RMSD" 8147 0.0815621652467288
2 0.32 99887 "RMSD" "3. MP and RMSD without CAD-score" 6355 0.0636218927387948
2 0.32 99887 "RMSD" "4. MP without CAD-score without RMSD" 12854 0.128685414518406
2 0.32 99887 "RNA_DI" "1. MP and CAD-score and RNA_DI" 74790 0.748746083073873
2 0.32 99887 "RNA_DI" "2. MP and CAD-score without RNA_DI" 5888 0.0589466096689259
