"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
1000 0 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.05 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.05 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.05 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.05 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.05 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.05 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.05 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.05 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.05 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.05 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.05 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0.05 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.1 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.1 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.1 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.1 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.1 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.1 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.1 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.1 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.1 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.1 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.1 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0.1 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.15 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.15 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.15 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.15 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.15 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.15 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.15 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.15 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.15 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.15 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.15 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0.15 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.2 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.2 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.2 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.2 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.2 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.2 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.2 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.2 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.2 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.2 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.2 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0.2 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.25 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.25 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.25 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.25 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.25 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.25 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.25 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.25 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.25 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.25 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.25 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
1000 0.25 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 124 0.252032520325203
1000 0.3 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 290 0.589430894308943
1000 0.3 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.3 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 40 0.0813008130081301
1000 0.3 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.3 492 "RMSD" "1. MP and CAD-score and RMSD" 222 0.451219512195122
1000 0.3 492 "RMSD" "2. MP and CAD-score without RMSD" 122 0.247967479674797
1000 0.3 492 "RMSD" "3. MP and RMSD without CAD-score" 23 0.0467479674796748
1000 0.3 492 "RMSD" "4. MP without CAD-score without RMSD" 125 0.254065040650407
1000 0.3 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 235 0.477642276422764
1000 0.3 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 109 0.221544715447154
1000 0.3 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 24 0.0487804878048781
