"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
1000 0 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.05 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.05 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.05 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.05 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.05 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.05 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.05 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.05 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.05 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.05 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.05 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.05 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.1 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.1 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.1 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.1 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.1 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.1 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.1 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.1 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.1 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.1 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.1 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.1 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.15 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.15 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.15 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.15 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.15 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.15 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.15 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.15 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.15 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.15 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.15 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.15 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.2 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.2 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.2 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.2 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.2 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.2 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.2 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.2 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.2 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.2 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.2 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.2 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.25 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.25 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.25 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.25 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.25 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.25 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.25 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.25 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.25 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.25 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.25 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.25 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.3 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.3 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.3 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.3 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.3 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.3 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.3 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.3 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.3 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.3 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.3 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.3 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.35 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.35 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.35 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.35 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.35 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.35 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.35 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.35 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.35 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.35 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.35 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.35 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.4 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.4 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.4 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.4 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.4 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.4 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.4 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.4 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.4 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.4 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.4 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.4 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.45 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.45 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.45 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.45 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.45 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.45 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.45 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.45 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.45 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.45 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.45 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.45 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.5 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 300 0.609756097560976
1000 0.5 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.107723577235772
1000 0.5 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0609756097560976
1000 0.5 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 109 0.221544715447154
1000 0.5 492 "RMSD" "1. MP and CAD-score and RMSD" 219 0.445121951219512
1000 0.5 492 "RMSD" "2. MP and CAD-score without RMSD" 134 0.272357723577236
1000 0.5 492 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0528455284552846
1000 0.5 492 "RMSD" "4. MP without CAD-score without RMSD" 113 0.229674796747967
1000 0.5 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.5 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 116 0.235772357723577
1000 0.5 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.5 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 117 0.23780487804878
1000 0.55 477 "RNA_INF" "1. MP and CAD-score and RNA_INF" 286 0.59958071278826
1000 0.55 477 "RNA_INF" "2. MP and CAD-score without RNA_INF" 53 0.111111111111111
1000 0.55 477 "RNA_INF" "3. MP and RNA_INF without CAD-score" 30 0.0628930817610063
1000 0.55 477 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.226415094339623
1000 0.55 477 "RMSD" "1. MP and CAD-score and RMSD" 207 0.433962264150943
1000 0.55 477 "RMSD" "2. MP and CAD-score without RMSD" 132 0.276729559748428
1000 0.55 477 "RMSD" "3. MP and RMSD without CAD-score" 26 0.0545073375262055
1000 0.55 477 "RMSD" "4. MP without CAD-score without RMSD" 112 0.234800838574423
1000 0.55 477 "RNA_DI" "1. MP and CAD-score and RNA_DI" 224 0.469601677148847
1000 0.55 477 "RNA_DI" "2. MP and CAD-score without RNA_DI" 115 0.241090146750524
1000 0.55 477 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0461215932914046
1000 0.55 477 "RNA_DI" "4. MP without CAD-score without RNA_DI" 116 0.243186582809224
1000 0.6 399 "RNA_INF" "1. MP and CAD-score and RNA_INF" 251 0.629072681704261
1000 0.6 399 "RNA_INF" "2. MP and CAD-score without RNA_INF" 42 0.105263157894737
1000 0.6 399 "RNA_INF" "3. MP and RNA_INF without CAD-score" 29 0.0726817042606516
1000 0.6 399 "RNA_INF" "4. MP without CAD-score without RNA_INF" 77 0.192982456140351
1000 0.6 399 "RMSD" "1. MP and CAD-score and RMSD" 179 0.448621553884712
1000 0.6 399 "RMSD" "2. MP and CAD-score without RMSD" 114 0.285714285714286
1000 0.6 399 "RMSD" "3. MP and RMSD without CAD-score" 17 0.0426065162907268
1000 0.6 399 "RMSD" "4. MP without CAD-score without RMSD" 89 0.223057644110276
1000 0.6 399 "RNA_DI" "1. MP and CAD-score and RNA_DI" 190 0.476190476190476
1000 0.6 399 "RNA_DI" "2. MP and CAD-score without RNA_DI" 103 0.258145363408521
1000 0.6 399 "RNA_DI" "3. MP and RNA_DI without CAD-score" 18 0.0451127819548872
1000 0.6 399 "RNA_DI" "4. MP without CAD-score without RNA_DI" 88 0.220551378446115
1000 0.65 287 "RNA_INF" "1. MP and CAD-score and RNA_INF" 171 0.59581881533101
1000 0.65 287 "RNA_INF" "2. MP and CAD-score without RNA_INF" 32 0.111498257839721
1000 0.65 287 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0905923344947735
1000 0.65 287 "RNA_INF" "4. MP without CAD-score without RNA_INF" 58 0.202090592334495
1000 0.65 287 "RMSD" "1. MP and CAD-score and RMSD" 120 0.418118466898955
