"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
1000 0 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.05 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.05 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.05 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.05 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.05 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.05 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.05 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.05 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.05 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.05 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.05 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.05 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.1 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.1 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.1 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.1 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.1 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.1 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.1 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.1 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.1 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.1 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.1 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.1 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.15 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.15 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.15 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.15 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.15 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.15 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.15 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.15 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.15 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.15 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.15 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.15 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.2 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.2 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.2 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.2 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.2 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.2 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.2 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.2 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.2 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.2 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.2 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.2 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.25 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.25 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.25 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.25 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.25 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.25 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.25 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.25 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.25 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.25 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.25 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.25 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.3 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.3 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.3 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.3 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.3 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.3 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.3 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.3 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.3 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.3 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.3 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.3 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.35 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.35 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.35 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.35 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.35 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.35 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.35 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.35 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.35 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.35 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.35 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.35 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.4 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.4 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.4 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.4 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
1000 0.4 492 "RMSD" "1. MP and CAD-score and RMSD" 191 0.388211382113821
1000 0.4 492 "RMSD" "2. MP and CAD-score without RMSD" 132 0.268292682926829
1000 0.4 492 "RMSD" "3. MP and RMSD without CAD-score" 54 0.109756097560976
1000 0.4 492 "RMSD" "4. MP without CAD-score without RMSD" 115 0.233739837398374
1000 0.4 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 201 0.408536585365854
1000 0.4 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 122 0.247967479674797
1000 0.4 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 58 0.117886178861789
1000 0.4 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 111 0.225609756097561
1000 0.45 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 244 0.495934959349593
1000 0.45 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 79 0.160569105691057
1000 0.45 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 86 0.17479674796748
1000 0.45 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 83 0.16869918699187
