"max_RMSD" "min_RNA_INF" "set_size" "second_score_name" "subset_name" "subset_size" "fraction"
1000 0 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.05 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.05 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.05 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.05 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.05 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.05 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.05 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.05 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.05 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.05 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.05 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.05 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.1 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.1 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.1 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.1 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.1 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.1 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.1 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.1 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.1 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.1 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.1 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.1 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.15 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.15 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.15 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.15 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.15 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.15 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.15 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.15 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.15 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.15 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.15 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.15 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.2 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.2 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.2 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.2 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.2 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.2 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.2 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.2 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.2 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.2 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.2 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.2 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.25 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.25 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.25 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.25 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.25 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.25 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.25 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.25 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.25 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.25 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.25 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.25 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.3 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.3 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.3 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.3 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.3 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.3 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.3 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.3 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.3 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.3 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.3 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.3 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.35 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.35 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.35 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.35 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.35 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.35 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.35 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.35 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.35 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
1000 0.35 492 "RNA_DI" "2. MP and CAD-score without RNA_DI" 121 0.245934959349594
1000 0.35 492 "RNA_DI" "3. MP and RNA_DI without CAD-score" 22 0.0447154471544715
1000 0.35 492 "RNA_DI" "4. MP without CAD-score without RNA_DI" 112 0.227642276422764
1000 0.4 492 "RNA_INF" "1. MP and CAD-score and RNA_INF" 304 0.617886178861789
1000 0.4 492 "RNA_INF" "2. MP and CAD-score without RNA_INF" 54 0.109756097560976
1000 0.4 492 "RNA_INF" "3. MP and RNA_INF without CAD-score" 26 0.0528455284552846
1000 0.4 492 "RNA_INF" "4. MP without CAD-score without RNA_INF" 108 0.219512195121951
1000 0.4 492 "RMSD" "1. MP and CAD-score and RMSD" 218 0.443089430894309
1000 0.4 492 "RMSD" "2. MP and CAD-score without RMSD" 140 0.284552845528455
1000 0.4 492 "RMSD" "3. MP and RMSD without CAD-score" 27 0.0548780487804878
1000 0.4 492 "RMSD" "4. MP without CAD-score without RMSD" 107 0.217479674796748
1000 0.4 492 "RNA_DI" "1. MP and CAD-score and RNA_DI" 237 0.481707317073171
